nombre,aliases,club,posicion,nacionalidad,instagram,notable,fecha_nacimiento
Luciano Gondou,L. Gondou,CSKA Moscow,Delantero,Argentina,,,2001-06-22
Luis Asué,L. Asue|Luis Asue,CD Leganés,Delantero,Guinea Ecuatorial,,,2001-07-09
Luis Ojeda,,,Goalkeeper,Argentina,,no,1990-03-21
Luka Modric,L. Modric|L. Modrić|Modrić|Luka Modrić,Milan,Mediocampista,Croacia,lukamodric10,Balón de Oro 2018. Leyenda del fútbol mundial,1985-09-09
Manuel Mónaco,M. Monaco|Manuel Monaco,Sarmiento,Mediocampista Ofensivo,Argentina,,,2002-05-11
Marc Navarro,M. Navarro,Arka Gdynia,Mediocampista,España,,,1995-07-02
Marin Petkov,M. Petkov,Al-Taawoun,Extremo Derecho,Bulgaria,,,2003-10-02
Marko Mitrovic,M. Mitrovic,FK Jedinstvo Ub,Mediocampista Ofensivo,Serbia,,,2004-06-28
Martín Palermo,,,,,,no,
Martín Perelman,,,,,,no,
Mateo Scheffer Bracco,M. Scheffer|M. Scheffer Bracco,CPR Ospitaletto,Lateral Derecho,Argentina,,,2004-10-07
Mato Jajalo,M. Jajalo,,Mediocampista Defensivo,Croacia,,,1988-05-25
Mauricio Cardillo,M. Cardillo,San Lorenzo,Mediocampista,Argentina,,,2003-03-11
Maximiliano Herrera,,,Attack - Centre-Forward,Argentina,,no,1993-01-08
Maximiliano Oliva,,,Defender - Left-Back,Argentina,,no,1990-03-16
Miguel Cifuentes,M. Cifuentes,Sabah FC,Mediocampista,España,,,1990-10-05
Mile Svilar,M. Svilar,AS Roma,Arquero,Serbia,,,1999-08-27
Miodrag Pivaš,M. Pivas|Miodrag Pivas,Newcastle United U21,Defensor Central,Serbia,,,2005-05-17
Nacho Olivera,N. Olivera,CD Castellón B,Defensor Central,España,,,2006-03-02
Nahuel Curcio,N. Curcio,Vinotinto FC,Extremo Derecho,Argentina,,,2003-07-23
Nahuel Tenaglia,N. Tenaglia,Deportivo Alavés,Lateral Derecho,Argentina,,,1996-02-21
Nemanja Matić,N. Matic|Nemanja Matic,US Sassuolo,Mediocampista Defensivo,Serbia,,Leyenda del Manchester United y Chelsea,1988-08-01
Nicolás Avellaneda,N. Avellaneda|Nicolas Avellaneda,Unión La Calera,Arquero,Argentina,,,1993-02-24
Nicolás Castro,N. Castro|Nicolas Castro,San Martín Tucumán,Mediocampista,Argentina,,,1990-05-11
Nicolás Rinaldi,N. Rinaldi|Nicolas Rinaldi,Gimnasia y Tiro,Mediocampista,Argentina,,,1993-08-23
Nikola Ivezic,N. Ivezic,Lommel SK,Arquero,Montenegro,,,2003-04-01
Nikola Jokic,,,Midfield - Defensive Midfield,Bosnia-Herzegovina,,no,2008-01-04
Nikola Jovicevic,N. Jovicevic,,Mediocampista Ofensivo,Serbia,,,2003-09-30
Nikola Vujnovic,N. Vujnovic,FK Mornar Bar,Delantero,Montenegro,,,1997-01-11
Nyk Sessock,N. Sessock,Las Vegas Lights FC,Lateral Derecho,Estados Unidos,,,2000-06-17
Pablo Expósito,,,Defender - Right-Back,Spain,,no,2000-05-18
Pablo Piatti,,,Midfield - Attacking Midfield,Argentina,,no,1989-03-31
Patrik Karlsson Lagemyr,,,Midfield - Attacking Midfield,Sweden,,no,1996-12-18
Pedro de la Vega,P. de la Vega|De la Vega,Seattle Sounders,Extremo Derecho,Argentina,,,2001-02-07
Pedro Delgado,P. Delgado,Shandong Taishan,Mediocampista Ofensivo,Portugal,,,1997-04-07
Pol Lirola,P. Lirola,Hellas Verona,Lateral Derecho,España,,,1997-08-13
Rafa Lopes,R. Lopes,Anorthosis Famagusta,Delantero,Portugal,,,1991-07-28
Rafael Mota,,,Defender - Centre-Back,Portugal,,no,2007-02-07
Ramón Lentini,,,Attack - Centre-Forward,Argentina,,no,1988-10-24
Rareș Fotin,,,Defender - Centre-Back,Romania,,no,2007-09-09
Raúl García-Alejo,Raul Garcia-Alejo|R. García-Alejo,UE Sant Andreu,Arquero,España,,,2003-01-02
Renat Dadashov,R. Dadashov,Motor Lublin,Delantero,Azerbaiyán,,,1999-05-17
Robert Muric,R. Muric,FK Bylis,Extremo Derecho,Croacia,,,1996-03-12
Robertino Giacomini,,,Attack - Centre-Forward,Argentina,,no,1997-03-17
Robin Quaison,,,Attack - Centre-Forward,Sweden,,no,1993-10-09
Rochinha,,FC Famalicão,Extremo Izquierdo,Portugal,,,1995-05-03
Rodrigo Garro,R. Garro,Corinthians,Mediocampista Ofensivo,Argentina,rodrigarroo,,1998-01-04
Ronaldo Martínez,R. Martínez|Ronaldo Martinez,Talleres,Delantero,Paraguay,,,1996-04-25
Ryduan Palermo Dutra,R. Palermo|Ryduan Palermo,Martina Calcio 1947,Delantero,Argentina,,,1996-07-24
Sam Lundholm,,,Attack - Right Winger,Sweden,,no,1994-07-01
Sandi Lovric,S. Lovric,Udinese,Mediocampista,Eslovenia,sandilovric,,1998-03-28
Santiago Hidalgo,S. Hidalgo,Toulouse,Delantero,Argentina,,,2005-02-17
Sergi Baldrich,S. Baldrich,UCAM Murcia CF,Delantero,España,,,2003-05-20
Sergio Ojeda,S. Ojeda,AA Estudiantes Río Cuarto,Defensor Central,Argentina,,,1992-01-04
Shinichi Chan,S. Chan,Shanghai Shenhua,Lateral Izquierdo,Hong Kong,,,2002-09-05
Simón Moreno,Simon Moreno|S. Moreno,Deportiva Minera,Delantero,España,,,1997-07-02
Stefan Silva,,,Attack - Centre-Forward,Sweden,,no,1990-03-11
Strahinja Rakic,S. Rakic,FC RFS,Mediocampista,Serbia,,,2006-02-18
Strahinja Ristovic,,,Defender - Centre-Back,Yugoslavia (Republic),,no,2000-09-30
Thiago Nuss,T. Nuss,OFI Crete,Extremo Izquierdo,Argentina,,,2001-02-02
Tincho Conde,T. Conde,CD Castellón,Lateral Izquierdo,España,,,2003-03-25
Tomás Jacob,T. Jacob|Tomas Jacob,Atlanta United,Defensor Central,Argentina,,,2004-04-20
Valentin Antov,V. Antov,AC Monza,Defensor Central,Bulgaria,,,2000-11-09
Vicente Longinotti,,,Defender - Centre-Back,Argentina,,no,2004-12-15
Viktor Damjanic,V. Damjanic,Oud-Heverlee Leuven,Defensor Central,Croacia,,,2005-11-03
Vukasin Jovanovic,V. Jovanovic,FK Jedinstvo Ub,Arquero,Serbia,,,2007-09-30
Wesley Dual,W. Dual,Beroe Stara Zagora,Mediocampista,España,,,2006-01-15
Yoel Lago,Y. Lago,Celta de Vigo,Defensor Central,España,,,2004-03-25
Zé Pedro,Ze Pedro,UD Leiria,Defensor Central,Portugal,,,2002-01-16
Álex Pastor,Alex Pastor|A. Pastor,Málaga CF,Defensor Central,España,,,1999-10-01
Ángel García,Angel Garcia|A. García,AEK Larnaca,Lateral Izquierdo,España,,,1993-02-03
